"","season_id","player_id","player_name","team_id","team_abbreviation","team_name","play_type","type_grouping","percentile","gp","poss_pct","ppp","fg_pct","ft_poss_pct","tov_poss_pct","sf_poss_pct","plusone_poss_pct","score_poss_pct","efg_pct","poss","pts","fgm","fga","fgmx","year","type"
"1","22015","201935","James Harden","1610612745","HOU","Houston Rockets","Isolation","Offensive","0.742","82","0.242","0.926","0.37","0.166","0.102","0.148","0.028","0.415","0.434","6.9","6.4","1.9","5.2","3.3","2015-16","regularSeason"
"2","22015","2546","Carmelo Anthony","1610612752","NYK","New York Knicks","Isolation","Offensive","0.804","72","0.237","0.952","0.437","0.142","0.071","0.125","0.023","0.473","0.453","5.5","5.2","1.9","4.4","2.5","2015-16","regularSeason"
"3","22015","203081","Damian Lillard","1610612757","POR","Portland Trail Blazers","Isolation","Offensive","0.89","75","0.172","1.012","0.404","0.171","0.055","0.153","0.024","0.462","0.46","4.4","4.4","1.4","3.5","2.1","2015-16","regularSeason"
"4","22015","2544","LeBron James","1610612739","CLE","Cleveland Cavaliers","Isolation","Offensive","0.59","76","0.191","0.853","0.381","0.133","0.073","0.107","0.034","0.407","0.411","4.7","4","1.5","3.8","2.4","2015-16","regularSeason"
"5","22015","201942","DeMar DeRozan","1610612761","TOR","Toronto Raptors","Isolation","Offensive","0.732","78","0.161","0.919","0.389","0.193","0.068","0.176","0.024","0.463","0.398","3.8","3.5","1.1","2.9","1.8","2015-16","regularSeason"
"6","22015","201142","Kevin Durant","1610612760","OKC","Oklahoma City Thunder","Isolation","Offensive","0.852","72","0.149","0.989","0.441","0.136","0.099","0.114","0.011","0.465","0.488","3.8","3.8","1.3","2.9","1.6","2015-16","regularSeason"
"7","22015","2037","Jamal Crawford","1610612746","LAC","LA Clippers","Isolation","Offensive","0.887","79","0.224","1.004","0.417","0.157","0.034","0.138","0.027","0.475","0.443","3.3","3.3","1.2","2.8","1.6","2015-16","regularSeason"
"8","22015","202331","Paul George","1610612754","IND","Indiana Pacers","Isolation","Offensive","0.502","81","0.14","0.807","0.344","0.133","0.111","0.115","0.019","0.381","0.371","3.3","2.7","0.9","2.6","1.7","2015-16","regularSeason"
"9","22015","201939","Stephen Curry","1610612744","GSW","Golden State Warriors","Isolation","Offensive","0.942","79","0.1","1.075","0.45","0.104","0.065","0.1","0.01","0.473","0.53","2.5","2.7","1","2.1","1.2","2015-16","regularSeason"
"10","22015","101108","Chris Paul","1610612746","LAC","LA Clippers","Isolation","Offensive","0.718","75","0.152","0.914","0.379","0.077","0.059","0.045","0","0.405","0.442","2.9","2.7","1","2.5","1.6","2015-16","regularSeason"
